ticket_id,customer_id,ticket_date,account_age_days,num_prev_tickets,avg_response_time_prev,product_category,issue_type,priority,ticket_text,urgent_flag
T00000,C4896,2025-11-06 02:10:45,1721,1,46.88,Beauty,Delivery,Medium,"Subject: Beauty item delivery issue Dear Support Team, I hope this message finds you well. I recently placed an order for a Beauty item on your platform and I'm facing an issue with the delivery. The item hasn't been delivered yet and I was wondering if there is any update on the delivery status. Could you please look into this matter and provide me with the latest information? Thank you in advance for your help.",0
T00001,C5618,2025-10-30 19:14:40,282,1,44.63,Electronics,Refund,Low,I purchased an Electronics item on your website recently but I am not satisfied with the product. I would like to request a refund. I hope this ticket finds you well. I would like to request a refund for the Electronics item that I purchased on your website a few days ago. I am not satisfied with the product and would like to request a full refund. Thank you for your assistance.,0
T00002,C5908,2025-11-27 21:36:16,903,0,27.51,Electronics,Other,Medium,"""I recently purchased an Electronics item from your platform and am experiencing some connectivity issues. After trying to connect my device to WiFi, I have received an error message indicating that the device is unable to find any available networks. I have tried resetting the router and the device, but the issue persists. Could you please provide me with some assistance on how to resolve this issue?""",0
T00003,C3490,2025-10-18 08:31:02,1274,5,23.47,Clothing,Delivery,High,"Subject: Urgent Delivery Issue for Clothing Item Dear Support Team, I am writing to express my frustration regarding the delivery of a clothing item that I recently purchased on your platform. Despite confirming the delivery on time, the item has not arrived at my doorstep even after several days of the estimated delivery date. I urgently need this item for an important event and was hoping for a swift resolution to this issue. Can you please look into this matter and",1
T00004,C7689,2025-11-15 15:26:34,1375,3,23.6,Clothing,Other,High,"Subject: Urgent: Problem with Clothing item - Can't be worn! Dear Support Team, I recently purchased a clothing item from your e-commerce platform and I am extremely disappointed to find out that it arrived damaged and is not fit to be worn. I was really looking forward to wearing this item for an upcoming event, but now I am left without a suitable option. Could you please assist me in resolving this issue as soon as possible? Thank you.",1
T00005,C7177,2025-11-22 19:45:48,967,2,40.3,Electronics,Delivery,High,"Subject: Urgent Help Required for Electronics Delivery Issue Dear Support Team, I am writing to urgently request your help as I am facing issues with the delivery of an electronics item that I ordered on your platform. The item has been delayed beyond the estimated delivery time and I am extremely frustrated with the lack of updates on its status. Could you please look into this matter and provide me with a resolution at the earliest? Thank you.",1
T00006,C7909,2025-12-25 19:49:30,1669,1,15.26,Groceries,Payment,Low,"I am having an issue with paying for a groceries order on [Platform name]. I received an error message stating that my payment information is incorrect, even though I double checked the details before submitting the order.",0
T00007,C8493,2025-11-07 04:02:29,423,0,38.2,Clothing,Refund,Medium,"Subject: Clothing item Refund Issue Dear Support Team, I've recently purchased a clothing item from your platform, but unfortunately it didn't fit properly. I'd like to request a refund, please let me know how I can proceed with the process. Thank you for your help. Best regards, Amina",0
T00008,C3493,2025-11-21 18:26:36,1568,1,8.43,Electronics,Other,Medium,"Hi there, I recently purchased an Electronics item from your store, but I have encountered some minor issues with the product. The item does not seem to be functioning as expected, and I was wondering if you could provide any assistance or advice on how to resolve the issue. Thank you in advance for your help.",0
T00009,C6889,2025-11-25 17:49:33,958,4,15.98,Home,Refund,High,"--- Subject: Urgent Refund Request for Home Item Dear Support Team, I recently purchased a Home item from your platform, but it arrived damaged and I am extremely disappointed with the product. I would like to request a full refund immediately, as this is my first and only purchase from your company. Please let me know if there are any further steps I need to take to initiate the refund process. Thank you.",1
T00010,C9843,2025-12-03 03:08:17,452,2,4.68,Beauty,Refund,High,"Subject: Urgent Refund Request for Beauty Item - Purchase Date: March 15th Dear Support Team, I hope this message finds you well. I am writing to request an immediate refund for a beauty item purchased on March 15th. I received the product damaged, and I have attached images of the condition for your reference. I would greatly appreciate it if you could process my refund promptly. Thank you for your help.",1
