ticket_id,ticket_date,customer_id,customer_tier,num_prev_tickets,avg_response_time_prev,issue_type,ticket_text,priority,sentiment_score,urgent_flag,activity_level
T000001,21/10/2025 16:14,C12345,Classic,2.0,15.5,Login,"I cannot login to my account, it says my password is wrong.",High,-0.9987932443618774,0,Low
T000002,22/10/2025 1:49,C67890,Silver,4.0,22.1,Payment,My credit card was charged twice for the same order.,Medium,-0.9942781925201416,0,Medium
T000003,22/10/2025 9:58,C11223,Gold,7.0,30.2,Delivery,"My package has not arrived yet, it was supposed to be here two days ago.",High,-0.9979246854782104,0,Medium
T000004,22/10/2025 18:42,C44556,Platinum,9.0,45.0,Refund,I need a refund for a product that arrived broken. This is unacceptable.,High,-0.9998044371604919,0,High
T000005,23/10/2025 2:19,C77889,Classic,1.0,8.0,Product,I have a question about the product specifications before I purchase.,Low,-0.9994675517082214,0,Low
T000006,23/10/2025 11:05,C99001,Silver,3.0,18.0,Order,Can you please confirm my order details? I think I made a mistake.,Medium,-0.9996967315673828,0,Medium
T000007,23/10/2025 19:17,C13579,Gold,8.0,38.5,Account,I need to update my shipping address. It's urgent.,Medium,-0.9344869256019592,1,High
T000008,24/10/2025 5:32,C24680,Platinum,10.0,48.0,Login,I am locked out of my account and need immediate access.,High,-0.9995114803314209,0,High
T000009,24/10/2025 13:30,C10101,Classic,0.0,2.0,Other,"I am experiencing a minor website glitch, just wanted to report it.",Low,-0.9985828399658203,0,Low
T000010,24/10/2025 22:56,C20202,Silver,5.0,25.0,Delivery,"My delivery is delayed, can you provide an update?",Medium,-0.9994745850563049,0,Medium
T000011,25/10/2025 7:12,C30303,Gold,6.0,32.0,Payment,There is a fraudulent charge on my account. Please investigate asap.,High,-0.9929094910621643,1,High
T000012,25/10/2025 15:16,C40404,Platinum,8.0,40.0,Product,The item I received is not what was advertised. What can be done?,Medium,-0.9996236562728882,0,High
T000013,26/10/2025 0:51,C50505,Classic,3.0,12.0,Refund,I would like to request a refund for an item I no longer need.,Medium,-0.5001295208930969,0,Low
